2025-08-22 23:53:56,450 | INFO | backtest.cli | run_id=20250822_235356_0bcfbde4
2025-08-22 23:53:56,468 | INFO | backtest.trace | env.json yazıldı: artifacts/20250822_235356_0bcfbde4/env.json
2025-08-22 23:53:56,469 | INFO | backtest.trace | config.json ve inputs.json yazıldı
❌ Satır 290 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 291 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 292 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 293 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 294 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 295 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 296 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 297 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 298 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 299 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 300 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 301 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 302 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 303 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 304 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 305 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 306 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 307 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 308 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 309 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 310 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 311 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 312 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 313 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 314 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 315 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 316 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 317 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 318 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 319 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 320 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 321 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 322 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 323 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 324 | DF002 | DSL hatası: Yasak BinOp
